origin,development,value
2001,2001,357848.0
2001,2002,1124788.0
2001,2003,1735330.0
2001,2004,2218270.0
2001,2005,2745596.0
2001,2006,3319994.0
2001,2007,3466336.0
2001,2008,3606286.0
2001,2009,3833515.0
2001,2010,3901463.0
2002,2002,352118.0
2002,2003,1236139.0
2002,2004,2170033.0
2002,2005,3353322.0
2002,2006,3799067.0
2002,2007,4120063.0
2002,2008,4647867.0
2002,2009,4914039.0
2002,2010,5339085.0
2003,2003,290507.0
2003,2004,1292306.0
2003,2005,2218525.0
2003,2006,3235179.0
2003,2007,3985995.0
2003,2008,4132918.0
2003,2009,4628910.0
2003,2010,4909315.0
2004,2004,310608.0
2004,2005,1418858.0
2004,2006,2195047.0
2004,2007,3757447.0
2004,2008,4029929.0
2004,2009,4381982.0
2004,2010,4588268.0
2005,2005,443160.0
2005,2006,1136350.0
2005,2007,2128333.0
2005,2008,2897821.0
2005,2009,3402672.0
2005,2010,3873311.0
2006,2006,396132.0
2006,2007,1333217.0
2006,2008,2180715.0
2006,2009,2985752.0
2006,2010,3691712.0
2007,2007,440832.0
2007,2008,1288463.0
2007,2009,2419861.0
2007,2010,3483130.0
2008,2008,359480.0
2008,2009,1421128.0
2008,2010,2864498.0
2009,2009,376686.0
2009,2010,1363294.0
2010,2010,344014.0
