origin,development,value
1981,1981,5012.0
1981,1982,8269.0
1981,1983,10907.0
1981,1984,11805.0
1981,1985,13539.0
1981,1986,16181.0
1981,1987,18009.0
1981,1988,18608.0
1981,1989,18662.0
1981,1990,18834.0
1982,1982,106.0
1982,1983,4285.0
1982,1984,5396.0
1982,1985,10666.0
1982,1986,13782.0
1982,1987,15599.0
1982,1988,15496.0
1982,1989,16169.0
1982,1990,16704.0
1983,1983,3410.0
1983,1984,8992.0
1983,1985,13873.0
1983,1986,16141.0
1983,1987,18735.0
1983,1988,22214.0
1983,1989,22863.0
1983,1990,23466.0
1984,1984,5655.0
1984,1985,11555.0
1984,1986,15766.0
1984,1987,21266.0
1984,1988,23425.0
1984,1989,26083.0
1984,1990,27067.0
1985,1985,1092.0
1985,1986,9565.0
1985,1987,15836.0
1985,1988,22169.0
1985,1989,25955.0
1985,1990,26180.0
1986,1986,1513.0
1986,1987,6445.0
1986,1988,11702.0
1986,1989,12935.0
1986,1990,15852.0
1987,1987,557.0
1987,1988,4020.0
1987,1989,10946.0
1987,1990,12314.0
1988,1988,1351.0
1988,1989,6947.0
1988,1990,13112.0
1989,1989,3133.0
1989,1990,5395.0
1990,1990,2063.0
