origin,development,value
2015,2015,7622.0
2015,2016,4158.0
2015,2017,2055.2
2015,2018,900.1
2015,2019,358.0
2015,2020,129.6
2015,2021,37.1
2015,2022,10.6
2016,2016,7505.1
2016,2017,3941.0
2016,2018,1960.5
2016,2019,866.7
2016,2020,344.9
2016,2021,115.6
2016,2022,33.6
2017,2017,8938.5
2017,2018,4792.4
2017,2019,2484.3
2017,2020,1144.9
2017,2021,437.6
2017,2022,156.9
2018,2018,9649.4
2018,2019,5330.2
2018,2020,2570.3
2018,2021,1163.1
2018,2022,488.2
2019,2019,9178.4
2019,2020,5277.8
2019,2021,2522.5
2019,2022,1110.2
2020,2020,9794.4
2020,2021,5120.7
2020,2022,2518.4
2021,2021,11081.3
2021,2022,5954.9
2022,2022,10128.6
