origin,development,value
2015,2015,3445.2
2015,2016,7574.7
2015,2017,11461.3
2015,2018,14817.0
2015,2019,16741.2
2015,2020,18049.5
2015,2021,18144.4
2015,2022,18162.6
2016,2016,3922.9
2016,2017,8621.4
2016,2018,13043.2
2016,2019,11738.9
2016,2020,17572.7
2016,2021,18897.8
2016,2022,19017.8
2017,2017,4289.8
2017,2018,9574.7
2017,2019,14354.2
2017,2020,17383.9
2017,2021,19148.8
2017,2022,20702.4
2018,2018,4433.2
2018,2019,9994.9
2018,2020,14850.3
2018,2021,18952.0
2018,2022,21153.1
2019,2019,5405.9
2019,2020,12053.7
2019,2021,18330.0
2019,2022,22822.9
2020,2020,5434.9
2020,2021,12180.0
2020,2022,17778.7
2021,2021,4972.0
2021,2022,10867.3
2022,2022,5407.1
